vendor,order_date,order_number,item,qty,unit_price,line_total,category,build,flag,source,notes
RaceDayQuads,2022-01-01,552987,ISDT BattGo BG-8S Smart Battery Checker,1,29.88,29.88,tool,,,17e15c4429e88ee5,
Pyrodrone,2022-01-05,271346,TBS VTX SHRINK TUBES (40 X 23MM),1,0.95,0.95,vtx,,,17e2c99415a4a9de,
RaceDayQuads,2022-01-05,554566,ISDT Q6 Nano 200W 8A 1-6S DC Smart Charger w/ BattGo,1,29.99,29.99,tool,,,17e2cefa798c2960,
Pyrodrone,2022-01-15,272978,Flywoo CineRace20 V1.2 Neon Led HD W/Caddx Vista Polar Nano - ELRS 2.4G,1,328.99,328.99,misc,,?,17e5e03d4ba40c59,"complete BNF quad kit, not a single part category"
RaceDayQuads,2022-01-15,558029,Jumper T-Pro Multi-Protocol RF Module OpenTX RC Transmitter - AION 2.4GHz ELRS Combo,1,114.99,114.99,misc,,,17e5d5f7e5914df4,
RaceDayQuads,2022-01-15,558170,RDQ Series 15.2V 4S 650mAh 60C LiHV Micro Battery - XT30,1,15.49,15.49,battery,,,17e5f8a0b1ee3875,
RaceDayQuads,2022-02-12,568301,(PRE-ORDER) RadioMaster Zorro OpenTX RC Transmitter - Choose Version - ELRS 2.4GHz,1,99.99,99.99,misc,,,17eedaae2fea2310,
Pyrodrone,2022-02-21,279491,Flywoo NIN V2 1203PRO 11500Kv 1.5mm shaft Fpv Motor,1,13.99,13.99,motor,,,17f1c932bd63b31e,
Pyrodrone,2022-02-21,279491,Gemfan 2020 Ducted 5 Blade D51 Cinewhoop Propeller (4CW+4CCW) - Black,1,3.29,3.29,prop,,,17f1c932bd63b31e,
RaceDayQuads,2022-02-26,573472,Caddx DJI Air Unit,1,189.00,189.00,vtx,,,17f374fd89cab476,
